Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2013.0,3,323,5.58,2.83,0.02,0.77,9.2
2012.0,9,359,2.01,2.32,4.36,0.41,9.09
2007.0,3,359,4.46,1.88,1.98,0.7,9.02
2011.0,7,66,5.03,2.86,0.1,0.85,8.84
1992.0,6,359,3.54,1.24,3.81,0.18,8.76
2015.0,10,138,1.11,6.06,0.06,1.26,8.49
2010.0,3,359,1.79,3.53,2.49,0.68,8.49
2004.0,8,323,6.82,1.53,0.05,0.08,8.49
2007.0,3,359,3.81,2.3,1.58,0.73,8.42
2012.0,7,359,2.91,1.86,3.14,0.43,8.33
2012.0,0,138,1.06,5.05,0.13,2.01,8.24
2009.0,9,138,0.98,6.42,0.0,0.71,8.11
1997.0,8,359,5.8,2.01,0.13,0.15,8.09
2007.0,10,446,2.58,3.9,0.66,0.91,8.06
2001.0,7,456,2.91,2.07,2.73,0.33,8.05
1999.0,7,466,2.28,1.72,3.63,0.23,7.86
2008.0,7,359,2.82,1.78,2.69,0.55,7.84
1982.0,5,53,7.28,0.45,0.0,0.08,7.81
2005.0,0,494,2.9,2.83,0.24,1.75,7.72
2010.0,4,359,3.66,2.42,0.98,0.64,7.69
2015.0,8,138,2.93,3.29,0.22,1.23,7.67
2014.0,8,21,2.8,3.3,0.14,1.37,7.6
1998.0,0,359,4.1,1.89,1.45,0.16,7.6
1997.0,4,456,3.78,2.17,1.31,0.31,7.58
1988.0,4,359,5.39,1.18,0.7,0.19,7.46
2014.0,2,359,3.24,1.35,2.42,0.43,7.45
2008.0,8,21,4.79,1.9,0.0,0.69,7.37
2011.0,8,138,4.46,2.13,0.06,0.69,7.34
2006.0,0,359,3.83,2.19,0.6,0.7,7.31
2015.0,8,21,4.52,2.09,0.01,0.67,7.3
2009.0,3,525,3.51,3.03,0.0,0.73,7.27
2011.0,8,138,2.85,2.93,0.35,1.1,7.23
2003.0,6,138,3.27,2.83,0.08,1.02,7.2
1998.0,2,456,3.27,2.22,1.4,0.29,7.16
1998.0,4,456,3.68,1.75,1.42,0.28,7.13
2001.0,2,359,4.41,1.04,1.39,0.22,7.07
2014.0,6,359,3.13,2.07,1.27,0.49,6.96
2015.0,7,66,2.47,3.15,0.24,1.1,6.96
2003.0,6,359,4.12,1.77,0.87,0.19,6.95
2012.0,3,525,4.14,2.21,0.0,0.56,6.91
2013.0,10,138,0.78,4.32,0.07,1.73,6.9
2004.0,6,138,2.71,3.02,0.08,1.09,6.9
2002.0,8,138,2.93,2.75,0.17,0.99,6.83
2011.0,0,456,2.77,2.8,0.19,1.06,6.83
1996.0,4,456,3.23,2.35,0.94,0.3,6.82
2010.0,10,6,3.5,2.64,0.0,0.67,6.81
2008.0,8,323,4.15,1.92,0.06,0.64,6.76
2009.0,0,456,3.27,2.25,0.21,1.0,6.73
2007.0,8,21,3.1,2.3,0.28,1.04,6.72
2011.0,10,138,0.84,4.32,0.11,1.42,6.69
2005.0,3,359,1.67,2.78,1.6,0.62,6.67
2010.0,0,494,2.79,2.61,0.17,1.03,6.6
2014.0,10,138,0.79,4.29,0.05,1.47,6.59
2010.0,4,359,3.25,1.84,1.03,0.47,6.59
2011.0,7,66,2.55,2.71,0.25,1.05,6.56
1986.0,0,359,3.74,0.93,1.69,0.14,6.51
2012.0,0,525,2.64,2.56,0.16,1.14,6.5
2001.0,8,323,4.98,1.3,0.08,0.07,6.43
2004.0,7,359,2.57,1.58,2.06,0.21,6.41
2002.0,7,456,3.64,1.2,1.49,0.07,6.4
2000.0,7,359,2.55,1.56,1.29,0.99,6.39
2009.0,8,323,4.34,1.35,0.06,0.61,6.36
2010.0,0,494,3.7,1.97,0.09,0.57,6.34
2002.0,4,359,4.01,1.26,0.87,0.17,6.31
1992.0,2,85,2.47,0.83,2.87,0.12,6.3
2004.0,7,21,0.07,6.21,0.0,0.0,6.28
1999.0,0,177,3.11,2.8,0.02,0.33,6.27
2010.0,10,323,3.92,1.78,0.03,0.51,6.24
2011.0,8,323,4.05,1.62,0.07,0.49,6.24
2006.0,8,323,3.54,1.9,0.07,0.6,6.11
2001.0,0,275,2.45,2.01,0.87,0.72,6.05
1992.0,4,446,4.47,1.2,0.16,0.19,6.03
2008.0,0,275,2.63,1.74,0.83,0.83,6.03
1998.0,0,275,3.18,1.83,0.78,0.24,6.03
2013.0,0,458,2.41,2.28,0.28,1.01,5.99
2006.0,7,465,1.88,0.0,2.33,1.74,5.95
2008.0,4,456,2.8,2.05,0.17,0.9,5.92
2009.0,7,359,0.66,0.69,4.35,0.15,5.84
2007.0,0,288,3.66,1.63,0.0,0.53,5.83
1998.0,0,542,1.88,1.47,2.02,0.45,5.82
1996.0,2,456,2.26,1.89,1.36,0.23,5.74
2006.0,9,6,3.13,1.94,0.07,0.58,5.72
2014.0,8,21,2.49,2.05,0.16,0.96,5.65
1988.0,5,359,2.97,0.69,1.81,0.11,5.58
2009.0,0,525,2.54,1.95,0.21,0.87,5.57
1999.0,2,359,2.95,0.6,1.97,0.04,5.55
2007.0,1,525,3.28,1.65,0.07,0.55,5.55
2011.0,0,549,2.7,1.91,0.11,0.8,5.53
2009.0,6,323,2.99,1.92,0.1,0.51,5.51
2008.0,7,85,0.47,0.57,4.13,0.34,5.5
2001.0,4,359,3.14,1.24,0.91,0.2,5.49
2001.0,6,359,2.62,1.64,0.99,0.23,5.47
2001.0,4,359,3.21,1.11,0.95,0.2,5.46
1999.0,11,359,3.18,1.24,0.94,0.09,5.45
2008.0,8,21,2.72,1.87,0.0,0.84,5.43
2001.0,4,529,2.07,2.29,0.24,0.82,5.42
2014.0,3,456,1.97,2.51,0.0,0.94,5.42
2009.0,7,465,1.74,1.24,1.87,0.52,5.36
1989.0,5,359,2.18,0.96,2.0,0.2,5.34
1999.0,3,359,3.02,1.12,1.01,0.16,5.31
2012.0,0,525,3.13,1.71,0.03,0.44,5.3
2000.0,7,466,1.62,0.77,2.78,0.14,5.3
2003.0,7,138,1.92,1.08,2.11,0.17,5.29
1999.0,4,359,3.33,0.79,1.09,0.06,5.27
2009.0,0,525,3.1,1.56,0.08,0.51,5.27
2007.0,5,359,1.22,2.48,1.03,0.52,5.26
1997.0,0,137,2.3,2.46,0.2,0.28,5.24
2007.0,10,138,4.26,0.26,0.01,0.71,5.23
2004.0,7,465,0.65,0.75,3.61,0.2,5.21
2012.0,7,21,2.43,2.15,0.0,0.62,5.2
2003.0,4,359,2.93,1.25,0.83,0.2,5.2
2012.0,4,359,2.32,1.3,1.27,0.31,5.19
1994.0,4,359,2.49,0.98,1.57,0.15,5.19
2012.0,0,138,1.08,3.48,0.03,0.58,5.18
2007.0,0,359,1.9,1.83,0.95,0.49,5.17
1995.0,4,359,2.1,0.74,2.2,0.11,5.15
2013.0,9,359,0.96,2.02,1.89,0.28,5.15
2008.0,10,446,1.64,2.48,0.44,0.58,5.14
2003.0,8,138,1.98,2.23,0.13,0.8,5.13
1992.0,4,359,2.71,0.61,1.7,0.11,5.13
2010.0,7,323,3.59,1.11,0.05,0.38,5.13
2014.0,8,21,3.21,1.53,0.01,0.38,5.13
1996.0,9,323,3.22,1.69,0.0,0.2,5.12
2006.0,3,426,3.81,0.63,0.0,0.68,5.12
2009.0,0,85,1.96,1.43,1.08,0.65,5.11
2014.0,0,494,2.66,2.01,0.0,0.41,5.08
2006.0,0,494,1.7,2.02,0.16,1.21,5.08
2010.0,10,138,0.6,3.29,0.06,1.13,5.08
1999.0,4,359,3.4,1.3,0.15,0.22,5.07
1996.0,0,542,2.05,1.16,1.11,0.73,5.05
1999.0,10,21,3.42,1.38,0.02,0.2,5.02
2014.0,2,359,2.59,1.06,0.8,0.57,5.02
1999.0,11,137,2.79,1.89,0.0,0.33,5.01
1998.0,4,456,3.36,1.36,0.07,0.21,5.0
2007.0,8,359,3.06,1.18,0.29,0.46,5.0
2007.0,3,21,3.49,0.01,0.01,1.48,4.98
2008.0,7,66,3.39,1.03,0.09,0.44,4.96
2007.0,7,359,1.85,1.2,1.54,0.37,4.96
2007.0,0,456,2.31,1.73,0.12,0.78,4.94
2005.0,10,138,3.98,0.26,0.01,0.66,4.91
2007.0,0,288,2.89,1.54,0.0,0.46,4.9
1997.0,6,359,2.91,0.99,0.89,0.1,4.88
2010.0,7,85,0.0,0.0,4.87,0.0,4.87
1990.0,5,359,2.62,0.6,1.52,0.1,4.85
2010.0,0,456,2.74,1.36,0.12,0.63,4.84
2010.0,11,21,2.56,1.68,0.0,0.59,4.83
2007.0,1,525,1.91,2.0,0.09,0.83,4.83
2014.0,10,138,0.57,3.14,0.04,1.07,4.82
1999.0,6,456,2.57,1.57,0.44,0.21,4.79
2016.0,10,138,0.28,3.75,0.06,0.69,4.77
2011.0,0,549,2.99,1.31,0.04,0.41,4.76
2000.0,0,53,2.36,2.1,0.02,0.25,4.73
2003.0,6,545,1.73,2.19,0.0,0.79,4.7
2000.0,10,21,3.05,1.41,0.02,0.2,4.68
2008.0,9,359,1.87,1.12,1.32,0.37,4.68
2002.0,0,138,1.94,1.95,0.08,0.7,4.67
2011.0,6,323,2.08,2.04,0.06,0.47,4.64
1996.0,0,137,2.29,1.97,0.13,0.24,4.63
2007.0,3,21,3.06,1.12,0.0,0.44,4.62
1991.0,0,359,2.42,0.91,1.15,0.13,4.61
2002.0,0,359,2.6,0.99,0.89,0.13,4.6
2009.0,10,446,1.89,1.99,0.22,0.48,4.58
2013.0,0,359,1.78,1.39,1.1,0.3,4.58
2015.0,8,359,1.55,1.15,1.44,0.43,4.57
2014.0,0,456,1.78,1.87,0.07,0.82,4.55
2007.0,3,21,3.19,0.92,0.01,0.42,4.53
2004.0,10,138,4.18,0.26,0.01,0.08,4.53
1981.0,4,21,4.21,0.24,0.0,0.05,4.5
2006.0,10,138,3.63,0.24,0.01,0.61,4.49
2002.0,0,21,2.71,1.51,0.03,0.23,4.48
2000.0,7,144,0.2,0.14,4.1,0.02,4.47
2015.0,0,456,1.96,1.69,0.08,0.74,4.47
2014.0,8,21,1.54,1.94,0.19,0.77,4.45
2005.0,0,456,2.71,1.29,0.02,0.43,4.45
2012.0,3,359,2.55,1.11,0.46,0.33,4.44
2010.0,3,525,2.67,1.35,0.01,0.39,4.42
2001.0,10,21,2.66,1.29,0.01,0.46,4.41
2006.0,10,275,0.1,2.39,1.05,0.86,4.39
2006.0,7,494,2.82,1.05,0.13,0.4,4.39
1987.0,1,359,2.19,0.5,1.61,0.08,4.38
2005.0,6,138,2.03,1.79,0.08,0.47,4.37
2006.0,8,456,1.73,1.73,0.14,0.75,4.35
1991.0,4,446,3.03,0.91,0.26,0.13,4.34
2005.0,7,465,2.2,0.58,1.38,0.17,4.33
2013.0,10,138,0.92,2.93,0.01,0.46,4.31
2014.0,8,21,2.75,1.18,0.0,0.37,4.31
1980.0,8,53,4.0,0.26,0.0,0.05,4.31
2008.0,7,323,2.51,1.27,0.11,0.41,4.31
2015.0,8,323,2.64,1.2,0.03,0.39,4.26
2013.0,4,359,2.11,1.11,0.72,0.3,4.25
2009.0,0,137,2.23,1.34,0.07,0.61,4.25
2011.0,0,525,1.41,2.02,0.1,0.72,4.24
2001.0,3,347,3.0,1.11,0.05,0.07,4.24
2004.0,0,275,1.46,0.0,0.83,1.93,4.23
2006.0,4,456,2.45,1.02,0.0,0.75,4.22
1995.0,11,21,1.7,2.27,0.0,0.23,4.21
2011.0,0,359,2.03,1.27,0.62,0.3,4.21
2005.0,10,138,0.78,2.55,0.04,0.84,4.21
2003.0,3,456,0.88,2.3,0.2,0.83,4.2
2016.0,8,456,1.3,2.07,0.18,0.65,4.2
2007.0,6,456,1.28,1.83,0.57,0.53,4.2
2011.0,0,525,2.25,1.47,0.04,0.43,4.19
2009.0,2,85,2.02,1.06,0.58,0.53,4.19
2011.0,10,138,0.84,2.79,0.02,0.53,4.19
1989.0,0,385,3.38,0.44,0.31,0.04,4.17
1984.0,6,359,2.04,0.48,1.57,0.07,4.16
1997.0,0,214,3.79,0.27,0.0,0.11,4.16
2002.0,10,138,3.36,0.21,0.01,0.56,4.14
2014.0,0,525,1.4,1.86,0.11,0.77,4.14
1997.0,8,545,4.03,0.0,0.09,0.0,4.12
1995.0,4,359,1.65,0.61,1.76,0.09,4.12
2006.0,10,138,0.71,2.48,0.03,0.89,4.11
2011.0,0,359,2.14,1.2,0.37,0.4,4.1
1992.0,2,85,1.42,0.51,2.1,0.07,4.1
2007.0,3,494,2.13,1.5,0.05,0.42,4.1
2015.0,7,66,2.45,1.26,0.01,0.37,4.09
2007.0,7,21,2.57,1.52,0.0,0.0,4.09
2010.0,7,66,2.65,1.06,0.04,0.33,4.08
2007.0,0,456,2.32,0.04,0.04,1.67,4.07
2007.0,6,323,2.35,1.28,0.03,0.41,4.06
2005.0,10,275,0.12,2.26,0.9,0.77,4.06
1996.0,3,456,2.28,1.55,0.16,0.06,4.05
2000.0,2,347,1.68,1.51,0.51,0.35,4.05
2014.0,8,525,1.12,2.12,0.1,0.69,4.03
1997.0,8,359,2.78,0.58,0.64,0.04,4.03
2014.0,3,458,1.38,1.87,0.12,0.65,4.02
1984.0,10,359,1.22,0.28,2.46,0.04,4.01
2008.0,7,66,2.15,1.2,0.07,0.59,4.01
2007.0,5,359,0.92,1.78,0.92,0.37,4.0
2009.0,8,138,2.67,0.89,0.05,0.37,3.99
2005.0,3,347,2.08,1.35,0.0,0.54,3.98
2009.0,10,138,2.1,1.36,0.06,0.4,3.92
2014.0,0,525,1.18,1.96,0.08,0.7,3.92
1994.0,4,359,1.97,0.76,1.07,0.11,3.91
2003.0,10,21,2.29,1.17,0.01,0.42,3.9
2013.0,0,525,1.33,1.71,0.13,0.73,3.89
2014.0,7,359,0.67,0.49,2.62,0.11,3.89
2006.0,6,456,1.53,1.61,0.06,0.67,3.88
2011.0,7,66,1.15,2.09,0.0,0.64,3.88
2005.0,2,347,0.93,1.94,0.31,0.7,3.87
1988.0,7,144,0.1,0.0,3.77,0.0,3.87
2010.0,10,456,2.12,1.14,0.1,0.51,3.87
2015.0,10,494,2.48,0.65,0.03,0.69,3.85
2004.0,10,275,0.16,1.89,1.12,0.68,3.85
2007.0,3,359,0.87,1.57,1.05,0.35,3.84
1995.0,3,456,2.12,1.44,0.22,0.06,3.84
1992.0,0,359,2.21,0.96,0.54,0.13,3.83
2009.0,7,359,2.26,0.48,0.81,0.27,3.83
2007.0,3,359,1.06,1.93,0.41,0.43,3.82
2011.0,9,359,1.44,1.37,0.73,0.27,3.81
2015.0,0,549,1.49,1.58,0.1,0.61,3.79
2011.0,10,446,1.14,1.91,0.27,0.46,3.78
2008.0,0,21,2.4,1.03,0.0,0.36,3.78
1996.0,0,542,1.82,1.24,0.47,0.25,3.77
2007.0,4,456,1.4,1.4,0.1,0.87,3.77
2013.0,3,525,1.98,1.47,0.0,0.32,3.76
2002.0,9,138,2.03,1.56,0.0,0.17,3.76
2007.0,4,359,1.98,0.88,0.59,0.32,3.76
2001.0,0,138,1.37,2.0,0.14,0.22,3.73
2015.0,7,347,0.96,2.0,0.21,0.56,3.73
1999.0,0,137,1.3,0.77,1.54,0.11,3.72
2000.0,4,456,1.93,1.58,0.0,0.19,3.71
2004.0,10,138,0.58,2.48,0.04,0.59,3.7
1998.0,11,359,1.49,0.73,1.38,0.1,3.7
2013.0,8,138,1.3,1.51,0.27,0.61,3.69
2007.0,9,138,1.59,1.61,0.08,0.41,3.69
2009.0,3,359,0.0,0.0,3.67,0.0,3.67
2002.0,10,21,2.13,1.18,0.01,0.35,3.67
2005.0,6,494,1.65,1.22,0.0,0.79,3.66
1998.0,4,359,1.87,1.13,0.55,0.1,3.65
2002.0,8,456,2.53,0.81,0.06,0.24,3.65
2008.0,3,21,2.33,0.97,0.0,0.35,3.65
2013.0,6,456,0.71,1.8,0.4,0.74,3.64
2001.0,4,456,2.08,1.09,0.15,0.33,3.64
1999.0,9,359,2.23,0.68,0.66,0.06,3.63
2009.0,10,138,0.6,2.46,0.05,0.52,3.63
2007.0,10,275,0.05,0.0,0.64,2.93,3.63
2013.0,8,21,1.78,1.42,0.05,0.38,3.63
2005.0,0,85,2.08,0.83,0.46,0.25,3.62
2016.0,8,525,1.28,1.61,0.15,0.57,3.61
2004.0,8,288,1.93,1.22,0.03,0.44,3.61
1994.0,8,542,2.05,1.4,0.0,0.16,3.61
2001.0,6,138,2.02,1.17,0.0,0.42,3.61
2007.0,9,6,1.61,1.5,0.1,0.39,3.61
2001.0,0,359,2.38,0.67,0.46,0.1,3.6
2005.0,8,288,2.18,1.02,0.03,0.37,3.59
2000.0,2,488,2.01,1.35,0.06,0.16,3.58
1997.0,4,164,1.57,1.79,0.0,0.2,3.56
2006.0,0,494,1.56,1.4,0.07,0.5,3.54
2002.0,0,456,1.23,1.77,0.05,0.49,3.54
1997.0,0,137,1.66,1.58,0.12,0.18,3.54
2001.0,8,138,1.9,1.13,0.1,0.41,3.53
2005.0,0,137,1.98,1.14,0.01,0.41,3.53
2013.0,8,138,2.14,1.08,0.02,0.29,3.53
2010.0,10,138,0.71,2.4,0.02,0.4,3.53
2000.0,0,488,1.96,1.33,0.0,0.23,3.52
1999.0,4,456,2.14,1.21,0.01,0.17,3.52
2008.0,8,138,2.66,0.5,0.05,0.3,3.52
2009.0,10,446,1.22,1.66,0.27,0.38,3.52
2009.0,0,85,2.11,0.94,0.12,0.34,3.51
1996.0,4,359,1.17,0.5,1.75,0.08,3.51
2010.0,0,525,2.84,0.39,0.03,0.24,3.5
1985.0,0,359,1.64,0.38,1.42,0.06,3.5
2009.0,0,137,2.2,0.97,0.02,0.31,3.5
2006.0,3,359,0.59,1.83,0.73,0.35,3.5
2007.0,10,138,0.59,2.36,0.04,0.51,3.49
2015.0,8,138,1.94,1.22,0.02,0.31,3.49
2010.0,8,138,2.09,1.02,0.04,0.32,3.48
2008.0,3,21,2.11,1.01,0.01,0.35,3.48
2014.0,0,525,2.26,0.89,0.0,0.3,3.46
2012.0,8,525,0.88,1.75,0.1,0.72,3.45
2013.0,7,85,0.0,0.0,3.44,0.0,3.44
2009.0,8,494,2.39,0.73,0.03,0.29,3.44
2002.0,2,347,1.55,1.27,0.33,0.29,3.44
2013.0,8,138,1.34,1.54,0.17,0.38,3.43
2011.0,4,456,1.82,1.07,0.06,0.47,3.42
1998.0,0,494,1.13,2.07,0.0,0.22,3.42
1994.0,7,466,0.86,0.0,2.55,0.02,3.42
2004.0,0,21,1.75,1.2,0.02,0.43,3.41
1990.0,6,359,1.73,0.69,0.59,0.4,3.41
2002.0,10,138,0.46,2.28,0.05,0.61,3.4
2000.0,3,456,1.56,1.47,0.19,0.17,3.39
2008.0,0,549,2.03,1.03,0.0,0.32,3.38
2015.0,0,275,1.08,1.35,0.48,0.47,3.38
2009.0,0,359,1.43,0.94,0.74,0.27,3.38
1998.0,2,17,2.47,0.76,0.0,0.13,3.36
2000.0,0,359,1.9,0.67,0.73,0.06,3.36
2008.0,5,359,0.65,1.61,0.82,0.28,3.36
1998.0,1,488,1.63,1.53,0.0,0.18,3.34
2013.0,0,525,1.9,1.14,0.01,0.29,3.34
2006.0,3,359,0.0,0.99,2.32,0.02,3.33
2002.0,8,138,1.45,1.29,0.12,0.46,3.33
2002.0,4,456,1.44,1.01,0.57,0.3,3.33
2012.0,3,359,1.15,1.17,0.76,0.24,3.32
2005.0,0,288,1.47,1.39,0.03,0.43,3.32
2001.0,8,494,1.99,1.05,0.05,0.22,3.31
2003.0,0,138,1.5,1.28,0.05,0.46,3.28
2015.0,0,525,0.8,1.92,0.06,0.5,3.28
2014.0,8,21,2.13,0.92,0.0,0.23,3.28
2003.0,0,21,1.89,1.05,0.02,0.31,3.27
2008.0,3,359,1.36,1.13,0.46,0.32,3.27
2009.0,6,456,0.5,1.59,0.31,0.87,3.27
2015.0,0,85,0.25,0.19,2.78,0.04,3.26
1995.0,2,456,0.95,1.3,0.77,0.22,3.24
2015.0,10,138,0.88,2.11,0.0,0.23,3.23
2011.0,1,494,1.27,1.33,0.12,0.51,3.23
2015.0,10,138,2.33,0.3,0.0,0.59,3.22
2014.0,7,359,0.03,0.0,3.18,0.0,3.22
1999.0,8,138,1.72,1.33,0.0,0.16,3.21
1983.0,10,359,0.73,0.1,2.35,0.02,3.2
1995.0,2,359,2.26,0.72,0.12,0.1,3.2
2000.0,2,488,1.76,1.21,0.07,0.16,3.2
2007.0,7,465,1.35,0.6,0.8,0.44,3.19
2008.0,0,456,1.48,1.01,0.04,0.66,3.19
1995.0,7,144,0.0,0.0,3.19,0.0,3.19
2010.0,3,292,2.15,0.77,0.01,0.26,3.19
2003.0,0,53,1.78,1.12,0.09,0.19,3.18
2015.0,4,359,1.18,0.87,0.93,0.2,3.18
2010.0,7,66,1.52,1.08,0.1,0.47,3.17
2007.0,0,549,1.86,1.02,0.0,0.29,3.17
2008.0,3,359,0.58,0.51,1.93,0.14,3.17
2001.0,9,458,2.06,0.56,0.38,0.17,3.17
2008.0,1,126,1.88,0.98,0.0,0.3,3.16
2001.0,9,359,1.92,0.16,0.99,0.09,3.15
2008.0,0,549,1.79,1.06,0.0,0.29,3.15
2005.0,4,446,1.22,1.57,0.06,0.29,3.15
2012.0,8,85,0.88,0.97,0.88,0.42,3.15
2014.0,8,323,1.89,0.99,0.03,0.24,3.15
2007.0,10,138,0.68,0.0,0.0,2.46,3.14
2000.0,0,21,1.7,1.25,0.02,0.16,3.13
1998.0,6,138,2.14,0.86,0.0,0.13,3.12
1999.0,6,359,2.31,0.62,0.14,0.04,3.12
2006.0,3,359,0.91,1.0,1.03,0.17,3.12
2007.0,7,525,1.69,0.87,0.14,0.42,3.12
1990.0,7,144,0.08,0.0,3.03,0.01,3.12
2010.0,1,456,1.29,1.27,0.06,0.5,3.12
2010.0,7,138,1.99,0.82,0.03,0.27,3.11
2014.0,10,138,0.78,2.02,0.0,0.3,3.11
2002.0,2,53,2.17,0.28,0.55,0.08,3.09
2001.0,10,138,2.5,0.16,0.01,0.42,3.08
1986.0,10,347,1.92,0.45,0.64,0.07,3.08
2012.0,8,494,1.89,0.91,0.04,0.24,3.07
2013.0,0,359,1.4,0.99,0.46,0.22,3.07
1994.0,4,359,1.57,0.62,0.55,0.34,3.07
2002.0,9,138,1.72,1.21,0.0,0.14,3.07
2012.0,7,138,1.94,0.86,0.03,0.24,3.07
2008.0,0,21,1.91,0.84,0.0,0.29,3.05
2012.0,8,525,1.38,1.35,0.02,0.28,3.04
2010.0,4,126,2.06,0.64,0.12,0.22,3.04
2008.0,0,488,1.94,0.8,0.02,0.27,3.03
1995.0,4,525,1.54,1.33,0.0,0.16,3.03
2009.0,8,456,1.4,1.07,0.08,0.47,3.02
2002.0,0,525,1.85,1.04,0.0,0.13,3.02
1987.0,2,359,2.03,0.47,0.45,0.07,3.02
2002.0,10,488,1.45,1.13,0.07,0.38,3.02
2015.0,8,323,2.38,0.32,0.0,0.31,3.0
2012.0,10,494,2.6,0.21,0.01,0.19,3.0
2007.0,2,53,1.15,0.0,0.76,1.09,3.0
2007.0,2,138,1.57,1.02,0.0,0.41,3.0
2014.0,0,549,1.01,1.41,0.05,0.53,2.99
1993.0,8,359,1.61,0.51,0.8,0.07,2.99
2000.0,3,138,1.67,1.18,0.0,0.13,2.99
2002.0,10,275,0.12,1.26,1.16,0.45,2.99
2001.0,0,85,1.36,0.86,0.64,0.13,2.99
2015.0,9,359,0.47,1.0,1.39,0.12,2.98
2010.0,8,138,1.33,1.12,0.08,0.45,2.97
2014.0,9,138,0.96,1.72,0.0,0.29,2.97
